"Auto Product Links","Auto Product Links"
"Auto Product Link Rules","Auto Product Link Rules"
"Auto Product Links Section","Auto Product Links Section"
"New Auto Product Link Rule","New Auto Product Link Rule"
"Edit Rule '%1'","Edit Rule '%1'"
"Marketing","Marketing"
"General","General"
"Run Limits","Run Limits"
"Co-Purchase Mining","Co-Purchase Mining"
"Cron","Cron"
"Enable Auto Product Links","Enable Auto Product Links"
"Dry Run","Dry Run"
"Invalidate Product Cache After a Run","Invalidate Product Cache After a Run"
"Default Maximum Links per Product","Default Maximum Links per Product"
"Auto Link Position Offset","Auto Link Position Offset"
"Maximum Source Products per Run","Maximum Source Products per Run"
"Maximum Candidate Products per Rule","Maximum Candidate Products per Rule"
"Products per Batch","Products per Batch"
"Look-back Window (months)","Look-back Window (months)"
"Minimum Orders per Pair","Minimum Orders per Pair"
"Maximum Orders per Run","Maximum Orders per Run"
"Skip Orders With More Lines Than","Skip Orders With More Lines Than"
"Co-Purchase Mining Schedule (cron expression)","Co-Purchase Mining Schedule (cron expression)"
"Rule Run Schedule (cron expression)","Rule Run Schedule (cron expression)"
"Rule Information","Rule Information"
"How Links Are Chosen","How Links Are Chosen"
"Apply This Rule To These Products","Apply This Rule To These Products"
"Link To These Products","Link To These Products"
"Rule Name","Rule Name"
"Description","Description"
"Active","Active"
"Fills","Fills"
"Evaluate For Store View","Evaluate For Store View"
"Priority","Priority"
"Active From","Active From"
"Active To","Active To"
"Choose Products By","Choose Products By"
"Must Match the Source Product On","Must Match the Source Product On"
"Price Band (%)","Price Band (%)"
"Maximum Links per Product","Maximum Links per Product"
"Show Best","Show Best"
"Related Products","Related Products"
"Up-Sells","Up-Sells"
"Cross-Sells (shown as ""Frequently Bought Together"")","Cross-Sells (shown as ""Frequently Bought Together"")"
"Similar products (match attributes, category or price)","Similar products (match attributes, category or price)"
"Bought together (from order history)","Bought together (from order history)"
"Best sellers first","Best sellers first"
"Strongest match first (bought-together strength)","Strongest match first (bought-together strength)"
"Newest first","Newest first"
"Most expensive first","Most expensive first"
"Cheapest first","Cheapest first"
"Random","Random"
"-- Shares a category with the source product --","-- Shares a category with the source product --"
"-- Price within the band set below --","-- Price within the band set below --"
"ID","ID"
"Rule","Rule"
"Chooses By","Chooses By"
"Links Created","Links Created"
"Add New Rule","Add New Rule"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save and Continue Editing","Save and Continue Editing"
"Run Now","Run Now"
"Edit","Edit"
"Delete","Delete"
"Delete rule","Delete rule"
"You saved the rule.","You saved the rule."
"This rule no longer exists.","This rule no longer exists."
"Enter a rule name.","Enter a rule name."
"The end date cannot be earlier than the start date.","The end date cannot be earlier than the start date."
"Enter a price band percentage, or remove the price band from the matching rules.","Enter a price band percentage, or remove the price band from the matching rules."
"Something went wrong while saving the rule.","Something went wrong while saving the rule."
"Something went wrong while running the rule.","Something went wrong while running the rule."
"We cannot find a rule to delete.","We cannot find a rule to delete."
"We cannot find a rule to run.","We cannot find a rule to run."
"You deleted the rule and removed the links it had created on %1 products. Links you added by hand were not affected.","You deleted the rule and removed the links it had created on %1 products. Links you added by hand were not affected."
"This deletes the rule and every product link it created. Links you added by hand are not affected.","This deletes the rule and every product link it created. Links you added by hand are not affected."
"Auto Product Links is switched off in Stores > Configuration > Magenx > Auto Product Links.","Auto Product Links is switched off in Stores > Configuration > Magenx > Auto Product Links."
"Yes","Yes"
"No","No"
"Choose a valid option for ""%1"".","Choose a valid option for ""%1""."
"""%1"" must be a whole number.","""%1"" must be a whole number."
"""%1"" must be between %2 and %3.","""%1"" must be between %2 and %3."
